Item,Section,Price,Package Quantity,Item Quantity,Total Price,Store,Reference
Glue Stick,Adhesive,$8.45,100,2,$8.45,Lowes Home Improvement,https://www.lowes.com/pd/SUREBONDER-All-Purpose-Stik-All-Temperature-Mini-Glue-Sticks-100-4-Length/5012905053
"Zap 30-minute Z-poxy, 8 oz.",Adhesive,$21.99,1,1,$21.99,Rockler Woodworking,https://www.rockler.com/zap-30-minute-z-poxy-8-oz
"2 Pack 3"" Lazy Susan Turntable 200 LBS pounds Steel Ball Bearing Rotating Tray Strong Sturdy Table Cabinet Low Profile",Bearings,$6.35,2,1,$6.35,Amazon,https://www.amazon.com/dp/B08TLJTFPM
Bearing Balls (15mm),Bearings,$9.29,25,6,$9.29,Amazon,https://www.amazon.com/dp/B0B5PMHFRW
Adafruid TB6612 1.2A DC/Stepper Motor Driver Breakout Board,Electronics,$6.95,1,1,$6.95,Adafruit,https://www.adafruit.com/product/2448
Adafruit CH334F Mini 4-Port USB Hub Breakout,Electronics,$4.95,1,2,$9.90,Adafruit,https://www.adafruit.com/product/5997
Adafruit KB2040 - RP2040 Kee Boar Driver,Electronics,$8.95,1,1,$8.95,Adafruit,https://www.adafruit.com/product/5302
Adafruit Mono 2.5W Class D Audio Amplifier - PAM8302,Electronics,$3.95,1,1,$3.95,Adafruit,https://www.adafruit.com/product/2130
Blue LED (5mm),Electronics,$8.00,25,1,$8.00,Adafruit,https://www.adafruit.com/product/301
"Eiechip DC-DC Step Up Converter - USB Power Module, 2V-24V to 5V-28V, 2A MT3608 Micro USB (Pack of 10)",Electronics,$12.99,1,1,$12.99,Amazon,https://www.amazon.com/dp/B07RNBJK5F
Hall effect sensor - US5881LUA,Electronics,$2.00,1,2,$4.00,Adafruit,https://www.adafruit.com/product/158
Mini Basic PIR Sensor - BL412,Electronics,$1.95,1,1,$1.95,Adafruit,https://www.adafruit.com/product/4667
"Miniature Slip Ring - 12mm diameter, 6 wires, max 240V @ 2A",Electronics,$17.50,1,1,$17.50,Adafruit,https://www.adafruit.com/product/775
NeoPixel Diffused 5mm Through-Hole LED - 5 Pack,Electronics,$4.95,5,1,$4.95,Adafruit,https://www.adafruit.com/product/1938
NeoPixel Ring - 16 x 5050 RGB LED with Integrated Drivers,Electronics,$9.95,1,1,$9.95,Adafruit,https://www.adafruit.com/product/1463
Resistor (10k),Electronics,$0.75,25,2,$0.75,Adafruit,https://www.adafruit.com/product/2784
Resistor (220),Electronics,$0.75,25,1,$0.75,Adafruit,https://www.adafruit.com/product/2780
Tactile Button switch (6mm) x 20 pack,Electronics,$2.50,20,2,$2.50,Adafruit,https://www.adafruit.com/product/367
USB DIY Connector Shell - Type A Socket,Electronics,$0.95,1,5,$4.75,Adafruit,https://www.adafruit.com/product/1388
10 Pcs Silicone Clay Sculpting Tool,Finishing,$5.99,1,1,$5.99,Amazon,https://www.amazon.com/dp/B09F9K974Y
"Liquitex Professional Modeling Paste, 473ml (16-oz)",Finishing,$31.58,1,1,$31.58,Amazon,https://www.amazon.com/dp/B000KNLGGY
Masking Tape (3mm),Finishing,$5.79,1,1,$5.79,Amazon,https://www.amazon.com/dp/B08LZ66FKQ
Masking Tape (48mm),Finishing,$6.88,1,1,$6.88,Lowes Home Improvement,https://www.lowes.com/pd/ScotchBlue-1-88-in-x-60-yd-Painters-Tape/1003202270
Rust-Oleum 376883 Clear (Satin),Finishing,$6.94,1,2,$13.88,Walmart,https://www.walmart.com/ip/White-Rust-Oleum-Stops-Rust-Custom-Sprays-5-in-1-Semi-Gloss-Spray-Paint-12-oz-376910/3012117008
Sand Paper (220 Grit),Finishing,$5.98,3,1.25,$5.98,Lowes Home Improvement,https://www.lowes.com/pd/3M-3M-Pro-Grade-Precision-9x11-Retail-Pack-Purple-Abrasive-220-grit-3-Sheets/5015565933
M2.5x6 Socket Head Screw,Hardware,$12.99,20,8,$12.99,Amazon,https://www.amazon.com/dp/B082XPZV1V
M2x6 Socket Head Screw,Hardware,$9.99,20,4,$9.99,Amazon,https://www.amazon.com/dp/B0CS9YSTX6
M3 Nut,Hardware,$9.99,130,10,$9.99,Amazon,https://www.amazon.com/dp/B0BMQ5Z96H
M3x10 Socket Head Screw,Hardware,$12.69,30,14,$12.69,Amazon,https://www.amazon.com/dp/B07VRC5RJ8
M3x12 Socket Head Screw,Hardware,$0.00,20,4,$0.00,Amazon,https://www.amazon.com/dp/B0BMQ5Z96H
M3x20 Socket Head Screw,Hardware,$0.00,20,16,$0.00,Amazon,https://www.amazon.com/dp/B0BMQ5Z96H
M3x3 Heat Set Insert,Hardware,$10.00,100,37,$10.00,CNCKitchen,https://cnckitchen.store/products/heat-set-insert-m3-x-3-short-version-100-pieces
M3x30 Socket Head Screw,Hardware,$0.00,15,2,$0.00,Amazon,https://www.amazon.com/dp/B0BMQ5Z96H
M3x5 Tapered Head Screw,Hardware,$6.59,50,8,$6.59,Amazon,https://www.amazon.com/Countersunk-Machine-Screws-Phillips-Stainless/dp/B0CT4LLVVX/
M3x8 Socket Head Screw,Hardware,$0.00,20,3,$0.00,Amazon,https://www.amazon.com/dp/B0BMQ5Z96H
M5x150 Steel Rod,Hardware,$6.19,5,4,$6.19,Amazon,https://www.amazon.com/dp/B0D5D5KDRG
Bambu Lab PETG HF (1kg),Material,$19.99,1,2,$39.98,Bambu Lab,https://us.store.bambulab.com/products/petg-hf
Mylar Sheet (4mils/0.1mm),Material,$6.99,15,1,$6.99,Amazon,https://www.amazon.com/Transparency-Template-Material-Stencils-Cutting/dp/B08J8BLJMK
Tracing Paper Sheet,Material,$5.99,100,1,$5.99,Amazon,https://www.amazon.com/Tracing-Paper-Drawing-100-Sheets/dp/B0CDTSZLM8
"DC 6V Gear Motor, 14MM N20 Micro Metal Motor for Robot DIY (60RPM)",Motor,$11.30,1,1,$11.30,Amazon,https://www.amazon.com/dp/B07L2S647Z
"Dupi-Color 22 WA9659 Bahama Blue Metallic, 8oz",Paint,$17.49,1,1,$17.49,Advanced Auto Parts,https://shop.advanceautoparts.com/p/duplicolor-perfect-match-touch-up-spray-paint-bahama-blue-22-wa9656-8-oz-bgm0533/99985079-P
"Dupi-Color BHA0987 Alabaster Silver Metallic, 8oz",Paint,$16.99,1,1,$16.99,AutoZone,https://www.autozone.com/paint-and-body/touch-up-paint/p/dupli-color-perfect-match-touch-up-paint-bha0987/59788_0_0
Rust-Oleum 224352 Flat Gray Spray Primer,Paint,$8.18,1,2,$16.36,Lowes Home Improvement,https://www.lowes.com/pd/Rust-Oleum-Flat-Gray-Spray-Primer-Actual-Net-Contents-12-oz/3728775
Rust-Oleum 854587 Hammered Black (Gloss),Paint,$8.91,1,1,$8.91,Lowes Home Improvement,https://www.lowes.com/pd/Rust-Oleum-Stops-Rust-Gloss-Black-Hammered-Spray-Paint-Actual-Net-Contents-12-oz/3729191
Rust-Oleum xxx Fuzzy Peach (Satin),Paint,$5.86,1,1,$5.86,Walmart,https://www.walmart.com/ip/Fuzzy-Peach-Rust-Oleum-American-Accents-2X-Ultra-Cover-Satin-Spray-Paint-12-oz/3023597555?classType=VARIANT&athbdg=L1600
Rust-Oleum xxx Sand Dollar (Satin),Paint,$5.86,1,2,$11.72,Walmart,https://www.walmart.com/ip/Fuzzy-Peach-Rust-Oleum-American-Accents-2X-Ultra-Cover-Satin-Spray-Paint-12-oz/698496826
Bambu Lab P1S 3D Printer,Tools,$699.00,1,1,$699.00,Bambu Lab,https://us.store.bambulab.com/products/p1s
Circuit Joy Xtra,Tools,$179.00,1,1,$179.00,Cricut,https://cricut.com/en-us/cutting-machines/cricut-joy/cricut-joy-xtra/cricut-joy-xtra/2010313.html
Cordless Hot Glue Gun,Tools,$49.99,1,1,$49.99,Amazon,https://www.amazon.com/dp/B0CKX8V6QX
Dupont Crimping Tool Kit,Tools,$37.66,1,1,$37.66,Amazon,https://www.amazon.com/dp/B07ZHB4BBY
